Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK17049_6,,4.075,1.14,3.8,1.14,3.8,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.125,0.76,3.46,0.76,3.46,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.15,0.82,3.22,0.82,3.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.175,1,3.65,1,3.65,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.19,1.32,3.5,1.32,3.5,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.225,1.1,3.39,1.1,3.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.25,0.83,3.39,0.83,3.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.275,0.74,3.14,0.74,3.14,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.29,0.71,3.27,0.71,3.27,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.325,1.06,3.39,1.06,3.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.35,0.54,3.34,0.54,3.34,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.375,0.51,3.3,0.51,3.3,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
